class,name,coverage,polarity,failed,border_std,background_leakage
Unripe,UnripeApple (161).jpg,0.14931441326530612,n/a,False,35.56266423622398,0.08155365723438335
Unripe,UnripeApple (162).jpg,0.1490752551020408,n/a,False,35.62766947966452,0.0570855614973262
Unripe,UnripeApple (163).jpg,0.17845184948979592,n/a,False,51.66163825173135,0.007594371230734867
Unripe,UnripeApple (164).jpg,0.17883051658163265,n/a,False,51.70266146266081,0.006686726847208292
Unripe,UnripeApple (165).jpg,0.11431760204081633,n/a,False,57.37971606939746,0.0
Unripe,UnripeApple (166).jpg,0.11395886479591837,n/a,False,57.43885166869311,0.0
Unripe,UnripeApple (167).jpg,0.2381218112244898,n/a,False,42.073235575084276,0.033311014395714766
Unripe,UnripeApple (168).jpg,0.2067920918367347,n/a,False,42.1224770053687,0.04028527370855821
Unripe,UnripeApple (169).jpg,0.2013313137755102,n/a,False,69.65867283396697,0.058206295783013264
Unripe,UnripeApple (17).jpg,0.28439891581632654,n/a,False,44.31341868373661,0.04029432375613175
Unripe,UnripeApple (170).jpg,0.1902702487244898,n/a,False,69.68524940345623,0.05582905624803603
Unripe,UnripeApple (171).jpg,0.27975526147959184,n/a,False,49.082663160934125,0.05022440692455653
Unripe,UnripeApple (172).jpg,0.27537069515306123,n/a,False,49.086508841062034,0.04950423391474271
Unripe,UnripeApple (173).jpg,0.27128507653061223,n/a,False,83.64616453790885,0.3375697913605642
Unripe,UnripeApple (174).jpg,0.2716438137755102,n/a,False,83.79911687716195,0.3698459280997799
Unripe,UnripeApple (175).jpg,0.09813456632653061,n/a,False,72.11881671889853,0.11210398050365557
Unripe,UnripeApple (176).jpg,0.09608179209183673,n/a,False,72.26579943697355,0.11283965982161377
Unripe,UnripeApple (177).jpg,0.3193359375,n/a,False,83.90395781335144,0.006740310803220371
Unripe,UnripeApple (178).jpg,0.30014349489795916,n/a,False,84.00173234620966,0.00597609561752988
Unripe,UnripeApple (179).jpg,0.19102758290816327,n/a,False,48.59729011585625,0.00020865936358894105
Unripe,UnripeApple (18).jpg,0.28300382653061223,n/a,False,44.30403607043609,0.03767605633802817
Unripe,UnripeApple (180).jpg,0.19144610969387754,n/a,False,48.64899410801942,0.00010410160316468874
Unripe,UnripeApple (181).jpg,0.21697624362244897,n/a,False,57.214109749092565,0.2613208413704418
Unripe,UnripeApple (182).jpg,0.2216796875,n/a,False,57.329007755727,0.2620695855434685
Unripe,UnripeApple (183).jpg,0.30211654974489793,n/a,False,61.34915624960113,6.596741209842338e-05
Unripe,UnripeApple (184).jpg,0.318180006377551,n/a,False,61.42011214456022,6.263701847792045e-05
Unripe,UnripeApple (185).jpg,0.21442522321428573,n/a,False,56.63362716107963,0.13504972581094898
Unripe,UnripeApple (186).jpg,0.21484375,n/a,False,56.774310487016805,0.12486085343228201
Unripe,UnripeApple (187).jpg,0.19951769770408162,n/a,False,49.21849384390631,9.989012086704625e-05
Unripe,UnripeApple (188).jpg,0.19975685586734693,n/a,False,49.471899099911504,0.02713758355781702
Unripe,UnripeApple (189).jpg,0.20475924744897958,n/a,False,64.4257764394735,0.021023943936149505
Unripe,UnripeApple (19).jpg,0.12017697704081633,n/a,False,78.09098623214521,0.19419568822553898
Unripe,UnripeApple (190).jpg,0.23036910076530612,n/a,False,64.62369796321396,0.028462669781122933
Unripe,UnripeApple (191).jpg,0.18702168367346939,n/a,False,41.47827173660684,0.0
Unripe,UnripeApple (192).jpg,0.18321508290816327,n/a,False,41.54846437331352,0.0
Unripe,UnripeApple (193).jpg,0.13576211734693877,n/a,False,40.28215521061792,0.014092777451556078
Unripe,UnripeApple (194).jpg,0.13536352040816327,n/a,False,40.40483625173423,0.018256772673733806
Unripe,UnripeApple (195).jpg,0.17598054846938777,n/a,False,67.2467993064925,0.0066817667044167615
Unripe,UnripeApple (196).jpg,0.17783402423469388,n/a,False,67.5542083281572,0.007620755351339235
Unripe,UnripeApple (197).jpg,0.2604830994897959,n/a,False,68.34509767744952,0.1550114766641163
Unripe,UnripeApple (198).jpg,0.25978555484693877,n/a,False,68.38496335642571,0.14982738780207136
Unripe,UnripeApple (199).jpg,0.10640545280612244,n/a,False,64.58276784265816,0.006555534744334145
Unripe,UnripeApple (2).jpg,0.21147560586734693,n/a,False,92.59048572015774,0.25049476957873906
Unripe,UnripeApple (20).jpg,0.11918048469387756,n/a,False,78.1723926514599,0.19765886287625417
Unripe,UnripeApple (200).jpg,0.10658482142857142,n/a,False,64.78283033466205,0.006731488406881077
Unripe,UnripeApple (201).jpg,0.1100326849489796,n/a,False,44.15913713253403,0.12298496649157761
Unripe,UnripeApple (202).jpg,0.0799984056122449,n/a,True,44.223435437053034,0.04982561036372696
Unripe,UnripeApple (203).jpg,0.09165736607142858,n/a,True,44.78319429641598,0.0
Unripe,UnripeApple (204).jpg,0.08998325892857142,n/a,True,44.901286866691066,0.0
Unripe,UnripeApple (205).jpg,0.2262236926020408,n/a,False,47.33179291058568,0.016121927583472823
Unripe,UnripeApple (206).jpg,0.22502790178571427,n/a,False,47.45199127281859,0.0154105039411921
Unripe,UnripeApple (207).jpg,0.0862563775510204,n/a,True,62.97392306104231,0.0
Unripe,UnripeApple (208).jpg,0.08771125637755102,n/a,True,63.12439610194525,0.0
Unripe,UnripeApple (209).jpg,0.09751674107142858,n/a,False,71.78761699806013,0.6290619251992643
Unripe,UnripeApple (21).jpg,0.17468510841836735,n/a,False,70.66914431315256,0.18368511123787792
Unripe,UnripeApple (210).jpg,0.09691884566326531,n/a,False,72.11132245513183,0.4879703886489821
Unripe,UnripeApple (211).jpg,0.09731744260204081,n/a,False,45.11499681773203,0.14888388285889823
