class,name,coverage,polarity,failed,border_std
80%,citra15.jpg,0.3426937181122449,dark,False,14.27531031209061
80%,citra16.jpg,0.3384486607142857,dark,False,14.234259803382335
80%,citra17.jpg,0.3408203125,dark,False,14.18063369585726
80%,citra18.jpg,0.33824936224489793,dark,False,14.147893252918836
80%,citra19.jpg,0.33950494260204084,dark,False,14.07477093904206
80%,citra2.jpg,0.21779336734693877,dark,False,30.146067205484574
80%,citra20.jpg,0.34225526147959184,dark,False,14.064499630178306
80%,citra21.jpg,0.49356265943877553,dark,False,70.14953755329094
80%,citra22.jpg,0.5006975446428571,dark,False,70.1268903107629
80%,citra23.jpg,0.4935825892857143,dark,False,70.1131388174781
80%,citra24.jpg,0.5083904655612245,dark,False,70.09913297292229
80%,citra25.jpg,0.503288424744898,dark,False,70.08099162602021
80%,citra26.jpg,0.504264987244898,dark,False,70.05987432732782
80%,citra27.jpg,0.4948780293367347,dark,False,70.04659661970392
80%,citra28.jpg,0.5156050701530612,dark,False,70.0284697214341
80%,citra29.jpg,0.19931839923469388,dark,False,20.708743934736788
80%,citra3.jpg,0.22082270408163265,dark,False,30.210095127183987
80%,citra30.jpg,0.20517777423469388,dark,False,20.555388342877965
80%,citra31.jpg,0.20079320790816327,dark,False,20.469991503281815
80%,citra32.jpg,0.2022082270408163,dark,False,20.37739499658227
80%,citra33.jpg,0.13261320153061223,dark,False,25.837436604405386
80%,citra34.jpg,0.13703762755102042,dark,False,25.797773819968455
80%,citra35.jpg,0.1347058354591837,dark,False,25.811204004455394
80%,citra36.jpg,0.13123804209183673,dark,False,25.77478715825704
80%,citra37.jpg,0.1318359375,dark,False,25.727886047787564
80%,citra38.jpg,0.1984016262755102,dark,False,20.33436766503476
80%,citra39.jpg,0.13215481505102042,dark,False,25.672108466683
80%,citra4.jpg,0.23264110331632654,dark,False,29.999878494636068
80%,citra40.jpg,0.13303172831632654,dark,False,25.66731748094399
80%,citra41.jpg,0.7030452806122449,dark,False,55.29084478981599
80%,citra42.jpg,0.6889748086734694,dark,False,55.25526929395358
80%,citra43.jpg,0.6907087053571429,dark,False,55.197145427124504
80%,citra44.jpg,0.6907286352040817,dark,False,55.15035062092678
80%,citra45.jpg,0.5898636798469388,dark,False,25.656060931438486
80%,citra46.jpg,0.5901825573979592,dark,False,25.639925994729253
80%,citra47.jpg,0.5908601721938775,dark,False,25.6262422881039
80%,citra48.jpg,0.5916573660714286,dark,False,25.64977029984135
80%,citra49.jpg,0.591796875,dark,False,25.648382674085923
80%,citra5.jpg,0.23292012117346939,dark,False,29.95305184767662
80%,citra50.jpg,0.5916972257653061,dark,False,25.644838596958447
80%,citra51.jpg,0.5913783482142857,dark,False,25.6238335741162
80%,citra52.jpg,0.5925342793367347,dark,False,25.61123575313445
80%,citra53.jpg,0.25779257015306123,dark,False,28.130764995446768
80%,citra54.jpg,0.2451969068877551,dark,False,28.051163383169634
80%,citra55.jpg,0.1874202806122449,dark,False,28.01122398230595
80%,citra56.jpg,0.1886360012755102,dark,False,27.97810710737966
80%,citra57.jpg,0.30221619897959184,dark,False,27.982629767910968
80%,citra58.jpg,0.18977200255102042,dark,False,27.898677601905817
80%,citra59.jpg,0.26070232780612246,dark,False,27.868738921605424
80%,citra6.jpg,0.22735969387755103,dark,False,29.86717186912057
80%,citra60.jpg,0.19939811862244897,dark,False,20.25077376305916
80%,citra61.jpg,0.19806281887755103,dark,False,20.20769763508528
80%,citra62.jpg,0.20163026147959184,dark,False,20.169615230463496
80%,citra63.jpg,0.5096859056122449,dark,False,40.887169189744704
80%,citra64.jpg,0.5206672512755102,dark,False,40.85340937828747
80%,citra65.jpg,0.5145288584183674,dark,False,40.846263449764784
80%,citra66.jpg,0.5191924426020408,dark,False,40.828161717050996
80%,citra67.jpg,0.5213448660714286,dark,False,40.823150692544296
80%,citra68.jpg,0.5026307397959183,dark,False,40.81889229264689
80%,citra69.jpg,0.521125637755102,dark,False,40.811843354684555
80%,citra7.jpg,0.22470902423469388,dark,False,29.88042276838533
80%,citra70.jpg,0.7059749681122449,dark,False,46.95024826166834
80%,citra71.jpg,0.706672512755102,dark,False,46.940459474772865
80%,citra72.jpg,0.7088847257653061,dark,False,46.9301212666638
80%,citra73.jpg,0.7075294961734694,dark,False,46.90775932359164
80%,citra74.jpg,0.5262675382653061,dark,False,40.7924742353302
80%,citra75.jpg,0.3986766581632653,dark,False,38.19172119272665
80%,citra76.jpg,0.3464405293367347,dark,False,38.120845362974855
80%,citra77.jpg,0.3151108099489796,dark,False,38.069745731498436
80%,citra78.jpg,0.31953523596938777,dark,False,38.04313795766831
80%,citra79.jpg,0.3190768494897959,dark,False,38.031550619540205
